"trained_model_name","gnn","layers","nodes","mol_len","seconds","opt_gap","obj_val","constrs","vars","q_constrs"
"2022-08-31_12:33:27-GCN_32_1","GCN","1","32","4","45.03699493408203","0.0","3.0730981546883953","1213","529","128"
"2022-08-31_12:03:07-GCN_16_2","GCN","2","16","4","535.9981470108032","0.0","2.427439176166958","1533","657","192"
"2022-08-31_12:04:42-GCN_32_2","GCN","2","32","4","6426.081276893616","0.0","1.6865989115383462","1725","785","256"
"2022-08-31_12:45:57-GCN_64_2","GCN","2","64","4","13404.016970157623","0.0","2.278572840260256","2109","1041","384"
"2022-08-31_12:53:27-GCN_16_3","GCN","3","16","4","9427.653640985489","0.0","1.7257665826092392","1725","785","256"
"2022-08-31_12:57:55-GCN_32_3","GCN","3","32","4","36000.06918716431","3.594743539731033","2.7870646864099404","2109","1041","384"
"2022-08-31_13:01:54-GCN_64_3","GCN","3","64","4","36000.17656803131","30.19287636422558","1.484383164857799","2877","1553","640"
"2022-08-31_12:33:27-GCN_32_1","GCN","1","32","6","2309.381366968155","0.0","4.913657166215926","2295","861","192"
"2022-08-31_12:03:07-GCN_16_2","GCN","2","16","6","36000.027664899826","2.9156049100546846","3.5989393704535684","2775","1053","288"
"2022-08-31_12:04:42-GCN_32_2","GCN","2","32","6","36000.13403701782","8.607192440342676","2.903831946484644","3063","1245","384"
"2022-08-31_12:45:57-GCN_64_2","GCN","2","64","6","36000.29808497429","8.200617866230925","3.644618799236105","3639","1629","576"
"2022-08-31_12:53:27-GCN_16_3","GCN","3","16","6","36000.06209397316","31.611422201976136","3.0188674826034814","3063","1245","384"
"2022-08-31_12:57:55-GCN_32_3","GCN","3","32","6","36000.15502905846","47.103896384579464","3.5679132414952983","3639","1629","576"
"2022-08-31_13:01:54-GCN_64_3","GCN","3","64","6","36000.177252054214","93.86408182839592","2.2920494684786616","4791","2397","960"
"2022-08-31_12:33:27-GCN_32_1","GCN","1","32","8","36000.015722990036","0.5421754864120393","6.710050869958868","3721","1265","256"
"2022-08-31_12:03:07-GCN_16_2","GCN","2","16","8","36000.1577129364","7.785339476849537","4.500289546586951","4361","1521","384"
"2022-08-31_12:04:42-GCN_32_2","GCN","2","32","8","36000.14540600777","14.210012644370812","4.109009589730086","4745","1777","512"
"2022-08-31_12:45:57-GCN_64_2","GCN","2","64","8","36000.37372994423","12.112831969575733","4.7758050083954195","5513","2289","768"
"2022-08-31_12:53:27-GCN_16_3","GCN","3","16","8","36000.094730854034","39.316583728829734","4.17214371183184","4745","1777","512"
"2022-08-31_12:57:55-GCN_32_3","GCN","3","32","8","36000.2625849247","63.469412589557834","4.830880355532279","5513","2289","768"
"2022-08-31_13:01:54-GCN_64_3","GCN","3","64","8","36000.93434214592","104.50672263792589","3.0997024837752116","7049","3313","1280"
